run:
The Start time is: 02.11.2017 - 00:09:58 and  229ms
### Start ###
Eingabe Plaintext: 	 {p1 =  9, p2 = 20}
Ciphertext: 		 {p1 = 25, p2 = 11}

Schlüssel #173 gefunden: {a11 =  7, a12 =  2, a21 = 17, a22 =  2}, Determinante:  -20 =   6 (mod 26), Invertierbar: false
Schlüssel #174 gefunden: {a11 =  7, a12 =  2, a21 = 17, a22 = 15}, Determinante:   71 =  19 (mod 26), Invertierbar:  true
Schlüssel #175 gefunden: {a11 =  7, a12 =  2, a21 = 19, a22 =  5}, Determinante:   -3 =  23 (mod 26), Invertierbar:  true
Schlüssel #176 gefunden: {a11 =  7, a12 =  2, a21 = 19, a22 = 18}, Determinante:   88 =  10 (mod 26), Invertierbar: false
Schlüssel #177 gefunden: {a11 =  7, a12 =  2, a21 = 21, a22 =  8}, Determinante:   14 =  14 (mod 26), Invertierbar: false
Schlüssel #178 gefunden: {a11 =  7, a12 =  2, a21 = 21, a22 = 21}, Determinante:  105 =   1 (mod 26), Invertierbar:  true
Schlüssel #179 gefunden: {a11 =  7, a12 =  2, a21 = 23, a22 = 11}, Determinante:   31 =   5 (mod 26), Invertierbar:  true
Schlüssel #180 gefunden: {a11 =  7, a12 =  2, a21 = 23, a22 = 24}, Determinante:  122 =  18 (mod 26), Invertierbar: false
Schlüssel #181 gefunden: {a11 =  7, a12 =  2, a21 = 25, a22 =  1}, Determinante:  -43 =   9 (mod 26), Invertierbar:  true
Schlüssel #182 gefunden: {a11 =  7, a12 =  2, a21 = 25, a22 = 14}, Determinante:   48 =  22 (mod 26), Invertierbar: false
Schlüssel #183 gefunden: {a11 =  7, a12 = 15, a21 =  1, a22 =  4}, Determinante:   13 =  13 (mod 26), Invertierbar: false
Schlüssel #184 gefunden: {a11 =  7, a12 = 15, a21 =  1, a22 = 17}, Determinante:  104 =   0 (mod 26), Invertierbar: false
Schlüssel #185 gefunden: {a11 =  7, a12 = 15, a21 =  3, a22 =  7}, Determinante:    4 =   4 (mod 26), Invertierbar: false
Schlüssel #186 gefunden: {a11 =  7, a12 = 15, a21 =  3, a22 = 20}, Determinante:   95 =  17 (mod 26), Invertierbar:  true
